Portal,Role,Route,Resolved Route,State,Viewport,Viewport Width,Viewport Height,Document Scroll Height,Main Content Height,Persistent Header Height,Persistent Footer Or Navigation Height,Effective Usable Viewport Height,Effective Ratio,Classification,Primary Action Visible,Major Section Count,Workflow Count,Horizontal Overflow,List Containment,Access Result,Evidence,Original Worst Ratio,Original Classification,Worst State Reduction Percent,Notes
Staff,Club Admin,/coach,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,2.49,Amber,true,5,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-coach-mobile.png,2.49,Amber,0.00,
Staff,Club Admin,/calendar,/calendar,Representative populated default,mobile,375,812,1207,1144,64,0,748,1.53,Green,true,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-calendar-mobile.png,1.46,Green,-4.79,
Staff,Club Admin,/sessions,/sessions,Representative populated default,mobile,375,812,970,906,64,0,748,1.21,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-mobile.png,1.21,Green,0.00,
Staff,Club Admin,/sessions/start,/sessions/start,Representative populated default,mobile,375,812,2144,2080,64,0,748,2.78,Amber,true,8,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-start-mobile.png,5.01,Red,44.51,
Staff,Club Admin,/sessions/previous,/sessions/previous,Representative populated default,mobile,375,812,1256,1193,64,0,748,1.59,Green,true,3,4,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-previous-mobile.png,7.65,Red,79.22,
Staff,Club Admin,/players,/players,Representative populated default,mobile,375,812,922,858,64,0,748,1.15,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-players-mobile.png,1.15,Green,0.00,
Staff,Club Admin,/players/current,/players/current,Representative populated default,mobile,375,812,2043,1980,64,0,748,2.65,Amber,false,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-players-current-mobile.png,6.67,Red,60.27,
Staff,Club Admin,/archived-players,/archived-players,Representative populated default,mobile,375,812,905,841,64,0,748,1.12,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-archived-players-mobile.png,1.12,Green,0.00,
Staff,Club Admin,/parent-linking,/parent-linking,Representative populated default,mobile,375,812,2148,2085,64,0,748,2.79,Amber,false,3,3,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-linking-mobile.png,2.78,Amber,-0.36,
Staff,Club Admin,/email-queue,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-email-queue-mobile.png,,,,
Staff,Club Admin,/polls,/polls,Representative populated default,mobile,375,812,1634,1571,64,0,748,2.1,Amber,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-polls-mobile.png,5.57,Red,62.30,
